wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
1,1,0,1,1,0,1,0,1,2,2,0,0,0,1,0,0,0,1,1,0
2,1,0,1,11,0,1,0,1,0,47,1,0,0,0.833333333,0,0,22,3,1.5,0
1,1,0,13,1,0,11,2,1,2,3,0,0,0,1,0,0,0,1,1,0
1,1,0,4,1,0,3,1,1,2,1,0,0,0,1,0,0,0,1,1,0
0,1,0,4,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0
4,1,0,2,7,6,1,1,4,2,20,0,0,0,0.875,0,0,4,1,0.75,0
5,1,0,3,6,6,3,0,5,0.75,24,1,0,0,0.7,0,0,3.4,1,0.8,0
1,4,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0,0,0
6,1,0,3,14,0,2,1,6,0,58,1,0,0,0.533333333,0,0,8.5,1,0.6667,0
1,1,0,0,2,0,0,0,1,2,15,0,0,0,1,0,0,3,0,0,0
2,1,0,2,8,1,1,1,2,2,48,0,0,0,0.5,0,0,23,1,0.5,0
1,1,0,14,1,0,13,1,1,2,1,0,0,0,1,0,0,0,1,1,0
2,1,0,6,2,1,6,0,2,2,2,0,0,0,0.666666667,0,0,0,1,1,0
0,1,0,4,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0
3,1,0,10,18,3,1,9,1,1.1,106,0,0,0,0.444444444,0,0,32.66666667,1,0.6667,0
4,1,0,2,13,6,1,1,4,2,45,0,0,0,0.625,0,0,10.25,2,1,0
1,1,0,2,1,0,2,0,0,2,2064,0,0,0,0,0,0,2052,0,0,0
0,1,0,1,0,0,1,0,0,2,7,0,0,0,0,0,0,0,0,0,0
1,3,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0,0,0
1,1,0,1,13,0,1,0,0,2,115,0,0,0,1,0,0,100,0,0,0
2,3,0,1,5,1,0,1,2,2,17,0,0,1,1,0,0,7.5,0,0,0
1,5,0,1,3,0,0,1,1,2,7,0,0,1,1,0,0,6,0,0,0
6,1,0,8,6,15,7,1,6,2,6,0,0,0,0.444444444,0,0,0,1,1,0
3,1,0,4,19,1,0,4,2,0.5,89,1,0,0,0.5,0,0,28.33333333,1,0.3333,0
1,1,0,4,1,0,4,0,1,2,1,0,0,0,1,0,0,0,1,1,0
1,5,0,1,8,0,0,1,1,2,18,0,0,1,1,0,0,17,0,0,0
3,1,0,4,7,3,1,3,3,2,17,0,0,0,0.555555556,0,0,4.666666667,1,0.6667,0
1,5,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0,0,0
1,1,0,23,1,0,23,0,1,2,1,0,0,0,1,0,0,0,1,1,0
4,1,0,5,4,6,2,3,4,2,4,0,0,0,0.4,0,0,0,1,1,0
3,1,0,2,5,3,2,0,3,2,19,0,0,0,0.5,0,0,5.333333333,1,0.6667,0
4,1,0,11,18,6,1,10,2,2,97,0,0,0,0.5,0,0,23.25,1,0.75,0
14,1,0,5,14,91,5,0,14,2,14,0,0,0,0.271428571,0,0,0,1,1,0
5,1,0,2,7,4,2,0,0,0.5,39,1,0,0,0.7,0,0,6.2,1,0.6,0
0,1,0,1,0,0,1,0,0,2,48,0,0,0,0,0,0,0,0,0,0
1,5,0,1,4,0,0,1,1,2,11,0,0,1,1,0,0,9,0,0,0
0,1,0,3,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0
1,2,0,1,3,0,0,1,1,2,7,0,0,1,1,0,0,6,0,0,0
1,7,0,1,7,0,0,1,1,2,40,0,0,1,1,0,0,37,0,0,0
5,1,0,3,9,0,1,2,5,0.666666667,64,1,0,0,0.533333333,0,0,11.2,1,0.8,0
1,1,0,4,1,0,3,2,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,5,1,0,4,2,1,2,1,0,0,0,1,0,0,0,1,1,0
3,1,0,7,3,3,2,5,3,2,3,0,0,0,0.476190476,0,0,0,1,1,0
2,4,0,2,4,1,2,0,2,2,9,0,0,1,0.75,0,0,3.5,0,0,0
3,1,0,1,5,0,1,0,3,0,45,1,0,0,0.666666667,0,0,13.33333333,2,1,0
1,1,0,22,1,0,21,1,1,2,1,0,0,0,1,0,0,0,1,1,0
5,1,0,11,5,10,7,4,5,2,5,0,0,0,0.5,0,0,0,1,1,0
2,1,0,20,2,1,18,2,2,2,2,0,0,0,1,0,0,0,1,1,0
2,1,0,4,2,1,3,2,2,2,2,0,0,0,0.75,0,0,0,1,1,0
2,1,0,4,2,1,3,2,2,2,2,0,0,0,0.666666667,0,0,0,1,1,0
3,1,0,38,3,3,38,0,3,2,3,0,0,0,1,0,0,0,1,1,0
6,1,0,2,11,3,1,1,6,0.6,51,1,0,0,0.666666667,0,0,7.166666667,1,0.8333,0
1,1,0,3,1,0,2,1,1,2,1,0,0,0,1,0,0,0,1,1,0
3,1,0,0,7,0,0,0,3,0,19,1,0,0,0.666666667,0,0,5,1,0.6667,0
10,1,0,5,10,45,4,1,10,2,10,0,0,0,0.36,0,0,0,1,1,0
1,1,0,3,1,0,3,1,1,2,1,0,0,0,1,0,0,0,1,1,0
1,3,0,1,2,0,1,0,1,2,5,0,0,1,1,0,0,4,0,0,0
2,1,0,6,4,1,4,2,2,2,8,0,0,0,0.75,0,0,3,1,0.5,0
1,1,0,4,1,0,3,1,1,2,1,0,0,0,1,0,0,0,1,1,0
